dns_ratio,Forward time,Backward time,Data time,Other time,Total time,FPS,BatchSize
0.5,0.3538,0.4932,0.013,0.01,0.87,147.1315,128
0.5,0.4626,0.7369,0.0191,0.0111,1.2298,156.1238,192
0.5,0.5743,0.9847,0.029,0.0126,1.6005,159.9458,256
