dns_ratio,Forward time,Backward time,Data time,Other time,Total time,FPS,BatchSize
0.5,0.3529,0.4457,0.0129,0.0086,0.82,156.0989,128
0.5,0.4622,0.6668,0.0193,0.0075,1.1559,166.1082,192
0.5,0.5745,0.8924,0.0309,0.0086,1.5064,169.9471,256
