dns_ratio,Forward time,Backward time,Data time,Other time,Total time,FPS,BatchSize
0.5,0.1932,0.1112,0.0035,0.003,0.3109,102.9337,32
0.5,0.245,0.2234,0.0066,0.0029,0.478,133.8821,64
0.5,0.3498,0.4393,0.0129,0.0044,0.8063,158.7402,128
0.5,0.5737,0.8905,0.0284,0.0132,1.5058,170.0061,256
0.5,0.4633,0.6645,0.0197,0.0081,1.1556,166.1486,192
