dns_ratio,Forward time,Backward time,Data time,Other time,Total time,FPS,BatchSize
0.5,0.4876,0.863,0.0046,0.0616,1.4168,352.9027,500
0.5,0.8136,1.4884,0.0073,0.0639,2.3732,316.0279,750
0.5,1.1452,2.27,0.0062,0.0918,3.5131,284.6455,1000
0.5,0.1687,0.2891,0.0057,0.0589,0.5224,382.879,200
0.5,0.3044,0.5227,0.0054,0.0643,0.8968,334.5134,300
0.5,0.4036,0.716,0.0056,0.061,1.1862,337.2198,400
